"pollster_name","candidate","percentage","party","sample_size","state","numeric_grade"
"CNN/SSRS","Chase Oliver",0,"LIB",726,"Michigan",2.8
"CNN/SSRS","Kamala Harris",48,"DEM",819,"Pennsylvania",2.8
"CNN/SSRS","Donald Trump",48,"REP",819,"Pennsylvania",2.8
"CNN/SSRS","Jill Stein",1,"GRE",819,"Pennsylvania",2.8
"CNN/SSRS","Chase Oliver",1,"LIB",819,"Pennsylvania",2.8
"CNN/SSRS","Kamala Harris",51,"DEM",736,"Wisconsin",2.8
"CNN/SSRS","Donald Trump",45,"REP",736,"Wisconsin",2.8
"CNN/SSRS","Robert F. Kennedy",1,"IND",736,"Wisconsin",2.8
"CNN/SSRS","Cornel West",0,"IND",736,"Wisconsin",2.8
"CNN/SSRS","Jill Stein",1,"GRE",736,"Wisconsin",2.8
"CNN/SSRS","Chase Oliver",0,"LIB",736,"Wisconsin",2.8
"YouGov","Kamala Harris",49,"DEM",1273,"Pennsylvania",3
"YouGov","Donald Trump",49,"REP",1273,"Pennsylvania",3
"YouGov","Kamala Harris",40,"DEM",1206,"Nebraska",3
"YouGov","Donald Trump",55,"REP",1206,"Nebraska",3
"YouGov","Jill Stein",0,"GRE",1206,"Nebraska",3
"YouGov","Cornel West",0,"IND",1206,"Nebraska",3
"YouGov","Chase Oliver",1,"LIB",1206,"Nebraska",3
"YouGov","Kamala Harris",43,"DEM",408,"Nebraska CD-1",3
"YouGov","Donald Trump",51,"REP",408,"Nebraska CD-1",3
"YouGov","Jill Stein",0,"GRE",408,"Nebraska CD-1",3
"YouGov","Cornel West",0,"IND",408,"Nebraska CD-1",3
"YouGov","Chase Oliver",3,"LIB",408,"Nebraska CD-1",3
"YouGov","Kamala Harris",52,"DEM",393,"Nebraska CD-2",3
"YouGov","Donald Trump",44,"REP",393,"Nebraska CD-2",3
"YouGov","Jill Stein",1,"GRE",393,"Nebraska CD-2",3
"YouGov","Cornel West",0,"IND",393,"Nebraska CD-2",3
"YouGov","Chase Oliver",1,"LIB",393,"Nebraska CD-2",3
"YouGov","Kamala Harris",25,"DEM",404,"Nebraska CD-3",3
"YouGov","Donald Trump",70,"REP",404,"Nebraska CD-3",3
"YouGov","Jill Stein",0,"GRE",404,"Nebraska CD-3",3
"YouGov","Cornel West",0,"IND",404,"Nebraska CD-3",3
"YouGov","Chase Oliver",0,"LIB",404,"Nebraska CD-3",3
"InsiderAdvantage","Kamala Harris",47.4,"DEM",800,"Pennsylvania",2
"InsiderAdvantage","Donald Trump",48.4,"REP",800,"Pennsylvania",2
"InsiderAdvantage","Kamala Harris",47.9,"DEM",800,"Michigan",2
"InsiderAdvantage","Donald Trump",48.5,"REP",800,"Michigan",2
"Cygnal","Kamala Harris",56.8,"DEM",600,"New York",2.1
"Cygnal","Donald Trump",39,"REP",600,"New York",2.1
"InsiderAdvantage","Kamala Harris",48,"DEM",800,"Wisconsin",2
"InsiderAdvantage","Donald Trump",49,"REP",800,"Wisconsin",2
"Emerson","Kamala Harris",49.3,"DEM",1000,"Michigan",2.9
"Emerson","Donald Trump",49.8,"REP",1000,"Michigan",2.9
"Redfield & Wilton Strategies","Kamala Harris",47,"DEM",901,"Arizona",1.8
"Redfield & Wilton Strategies","Donald Trump",49,"REP",901,"Arizona",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",901,"Arizona",1.8
"Redfield & Wilton Strategies","Jill Stein",1,"GRE",901,"Arizona",1.8
"Redfield & Wilton Strategies","Kamala Harris",47,"DEM",1112,"Georgia",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",1112,"Georgia",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",1112,"Georgia",1.8
"Redfield & Wilton Strategies","Jill Stein",0,"GRE",1112,"Georgia",1.8
"Redfield & Wilton Strategies","Kamala Harris",49,"DEM",728,"Michigan",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",728,"Michigan",1.8
"Redfield & Wilton Strategies","Chase Oliver",0,"LIB",728,"Michigan",1.8
"Redfield & Wilton Strategies","Jill Stein",1,"GRE",728,"Michigan",1.8
"Redfield & Wilton Strategies","Kamala Harris",47,"DEM",531,"Nevada",1.8
"Redfield & Wilton Strategies","Donald Trump",47,"REP",531,"Nevada",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",531,"Nevada",1.8
"Redfield & Wilton Strategies","Jill Stein",0,"GRE",531,"Nevada",1.8
"Redfield & Wilton Strategies","Kamala Harris",46,"DEM",770,"North Carolina",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",770,"North Carolina",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",770,"North Carolina",1.8
"Redfield & Wilton Strategies","Jill Stein",1,"GRE",770,"North Carolina",1.8
"Redfield & Wilton Strategies","Kamala Harris",48,"DEM",1116,"Pennsylvania",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",1116,"Pennsylvania",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",1116,"Pennsylvania",1.8
"Redfield & Wilton Strategies","Jill Stein",0,"GRE",1116,"Pennsylvania",1.8
"Redfield & Wilton Strategies","Kamala Harris",49,"DEM",746,"Wisconsin",1.8
"Redfield & Wilton Strategies","Donald Trump",47,"REP",746,"Wisconsin",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",746,"Wisconsin",1.8
"Redfield & Wilton Strategies","Jill Stein",0,"GRE",746,"Wisconsin",1.8
"RABA Research","Kamala Harris",45,"DEM",589,"Arizona",1.3
"RABA Research","Donald Trump",43,"REP",589,"Arizona",1.3
"Suffolk","Kamala Harris",47,"DEM",500,"Michigan",2.9
"Suffolk","Donald Trump",47.4,"REP",500,"Michigan",2.9
"Suffolk","Chase Oliver",0.2,"LIB",500,"Michigan",2.9
"Suffolk","Randall A. Terry",0,"CON",500,"Michigan",2.9
"Suffolk","Jill Stein",1.4,"GRE",500,"Michigan",2.9
"Suffolk","Robert F. Kennedy",1.4,"IND",500,"Michigan",2.9
"Suffolk","Joseph Kishore",0.2,"IND",500,"Michigan",2.9
"Suffolk","Cornel West",1,"IND",500,"Michigan",2.9
"Susquehanna","Kamala Harris",51.7,"DEM",400,"Michigan",2.3
"Susquehanna","Donald Trump",46.6,"REP",400,"Michigan",2.3
"Trafalgar Group","Kamala Harris",45.9,"DEM",1087,"Georgia",0.7
"Trafalgar Group","Donald Trump",48.3,"REP",1087,"Georgia",0.7
"Trafalgar Group","Kamala Harris",46,"DEM",1094,"Arizona",0.7
"Trafalgar Group","Donald Trump",48.1,"REP",1094,"Arizona",0.7
"Patriot Polling","Kamala Harris",49,"DEM",796,"Michigan",1.1
"Patriot Polling","Donald Trump",50,"REP",796,"Michigan",1.1
"Praecones Analytica","Kamala Harris",49.8,"DEM",622,"New Hampshire",2
"Praecones Analytica","Donald Trump",50.2,"REP",622,"New Hampshire",2
"Emerson","Kamala Harris",60.2,"DEM",1000,"Massachusetts",2.9
"Emerson","Donald Trump",37.2,"REP",1000,"Massachusetts",2.9
"Siena/NYT","Kamala Harris",41,"DEM",1180,"Texas",3
"Siena/NYT","Donald Trump",52,"REP",1180,"Texas",3
"Siena/NYT","Kamala Harris",40,"DEM",1180,"Texas",3
"Siena/NYT","Donald Trump",50,"REP",1180,"Texas",3
"Siena/NYT","Jill Stein",2,"GRE",1180,"Texas",3
"Siena/NYT","Chase Oliver",2,"LIB",1180,"Texas",3
"Siena/NYT","Kamala Harris",42,"DEM",1180,"Texas",3
"Siena/NYT","Donald Trump",52,"REP",1180,"Texas",3
"Siena/NYT","Kamala Harris",40,"DEM",1180,"Texas",3
"Siena/NYT","Donald Trump",51,"REP",1180,"Texas",3
"Siena/NYT","Jill Stein",1,"GRE",1180,"Texas",3
"Siena/NYT","Chase Oliver",1,"LIB",1180,"Texas",3
"Siena/NYT","Kamala Harris",40,"DEM",1194,"Nebraska",3
"Siena/NYT","Donald Trump",55,"REP",1194,"Nebraska",3
"Siena/NYT","Kamala Harris",38,"DEM",1194,"Nebraska",3
"Siena/NYT","Donald Trump",53,"REP",1194,"Nebraska",3
"Siena/NYT","Jill Stein",0,"GRE",1194,"Nebraska",3
"Siena/NYT","Cornel West",0,"IND",1194,"Nebraska",3
"Siena/NYT","Chase Oliver",1,"LIB",1194,"Nebraska",3
"Siena/NYT","Kamala Harris",40,"DEM",1194,"Nebraska",3
"Siena/NYT","Donald Trump",55,"REP",1194,"Nebraska",3
"Siena/NYT","Kamala Harris",39,"DEM",1194,"Nebraska",3
"Siena/NYT","Donald Trump",53,"REP",1194,"Nebraska",3
"Siena/NYT","Jill Stein",0,"GRE",1194,"Nebraska",3
"Siena/NYT","Cornel West",0,"IND",1194,"Nebraska",3
"Siena/NYT","Chase Oliver",1,"LIB",1194,"Nebraska",3
"Siena/NYT","Kamala Harris",54,"DEM",500,"Nebraska CD-2",3
"Siena/NYT","Donald Trump",42,"REP",500,"Nebraska CD-2",3
"Siena/NYT","Kamala Harris",53,"DEM",500,"Nebraska CD-2",3
"Siena/NYT","Donald Trump",41,"REP",500,"Nebraska CD-2",3
"Siena/NYT","Jill Stein",0,"GRE",500,"Nebraska CD-2",3
"Siena/NYT","Cornel West",0,"IND",500,"Nebraska CD-2",3
"Siena/NYT","Chase Oliver",1,"LIB",500,"Nebraska CD-2",3
"SurveyUSA","Kamala Harris",47,"DEM",853,"North Carolina",2.8
"SurveyUSA","Donald Trump",47,"REP",853,"North Carolina",2.8
"North Star Opinion Research","Kamala Harris",47,"DEM",600,"Pennsylvania",1.1
"North Star Opinion Research","Donald Trump",47,"REP",600,"Pennsylvania",1.1
"North Star Opinion Research","Chase Oliver",1,"LIB",600,"Pennsylvania",1.1
"North Star Opinion Research","Jill Stein",1,"GRE",600,"Pennsylvania",1.1
"CNN/SSRS","Kamala Harris",48,"DEM",781,"Arizona",2.8
"CNN/SSRS","Donald Trump",47,"REP",781,"Arizona",2.8
"CNN/SSRS","Jill Stein",1,"GRE",781,"Arizona",2.8
"CNN/SSRS","Chase Oliver",2,"LIB",781,"Arizona",2.8
"CNN/SSRS","Kamala Harris",47,"DEM",683,"Nevada",2.8
"CNN/SSRS","Donald Trump",48,"REP",683,"Nevada",2.8
"CNN/SSRS","Chase Oliver",1,"LIB",683,"Nevada",2.8
"Emerson","Kamala Harris",39.6,"DEM",1000,"Montana",2.9
"Emerson","Donald Trump",58.6,"REP",1000,"Montana",2.9
"St. Pete Polls","Kamala Harris",44.6,"DEM",1227,"Florida",2.4
"St. Pete Polls","Donald Trump",50.3,"REP",1227,"Florida",2.4
"CES / YouGov","Kamala Harris",49,"DEM",2077,"Arizona",3
"CES / YouGov","Donald Trump",49,"REP",2077,"Arizona",3
"CES / YouGov","Kamala Harris",47,"DEM",2066,"Arizona",3
"CES / YouGov","Donald Trump",51,"REP",2066,"Arizona",3
"CES / YouGov","Kamala Harris",47,"DEM",5952,"Florida",3
"CES / YouGov","Donald Trump",51,"REP",5952,"Florida",3
"CES / YouGov","Kamala Harris",46,"DEM",5916,"Florida",3
"CES / YouGov","Donald Trump",52,"REP",5916,"Florida",3
"CES / YouGov","Kamala Harris",48,"DEM",2682,"Georgia",3
"CES / YouGov","Donald Trump",49,"REP",2682,"Georgia",3
"CES / YouGov","Kamala Harris",46,"DEM",2663,"Georgia",3
"CES / YouGov","Donald Trump",51,"REP",2663,"Georgia",3
"CES / YouGov","Kamala Harris",52,"DEM",2347,"Michigan",3
"CES / YouGov","Donald Trump",45,"REP",2347,"Michigan",3
"CES / YouGov","Kamala Harris",51,"DEM",2336,"Michigan",3
"CES / YouGov","Donald Trump",46,"REP",2336,"Michigan",3
"CES / YouGov","Kamala Harris",52,"DEM",1278,"Minnesota",3
"CES / YouGov","Donald Trump",44,"REP",1278,"Minnesota",3
"CES / YouGov","Kamala Harris",53,"DEM",1275,"Minnesota",3
"CES / YouGov","Donald Trump",43,"REP",1275,"Minnesota",3
"CES / YouGov","Kamala Harris",53,"DEM",940,"Nevada",3
"CES / YouGov","Donald Trump",44,"REP",940,"Nevada",3
"CES / YouGov","Kamala Harris",51,"DEM",933,"Nevada",3
"CES / YouGov","Donald Trump",47,"REP",933,"Nevada",3
"CES / YouGov","Kamala Harris",52,"DEM",380,"New Hampshire",3
"CES / YouGov","Donald Trump",45,"REP",380,"New Hampshire",3
"CES / YouGov","Kamala Harris",52,"DEM",375,"New Hampshire",3
"CES / YouGov","Donald Trump",45,"REP",375,"New Hampshire",3
"CES / YouGov","Kamala Harris",49,"DEM",2330,"North Carolina",3
"CES / YouGov","Donald Trump",48,"REP",2330,"North Carolina",3
"CES / YouGov","Kamala Harris",48,"DEM",2308,"North Carolina",3
"CES / YouGov","Donald Trump",50,"REP",2308,"North Carolina",3
"CES / YouGov","Kamala Harris",45,"DEM",3120,"Ohio",3
"CES / YouGov","Donald Trump",52,"REP",3120,"Ohio",3
"CES / YouGov","Kamala Harris",45,"DEM",3091,"Ohio",3
"CES / YouGov","Donald Trump",52,"REP",3091,"Ohio",3
"CES / YouGov","Kamala Harris",50,"DEM",3708,"Pennsylvania",3
"CES / YouGov","Donald Trump",47,"REP",3708,"Pennsylvania",3
"CES / YouGov","Kamala Harris",49,"DEM",3685,"Pennsylvania",3
"CES / YouGov","Donald Trump",48,"REP",3685,"Pennsylvania",3
"CES / YouGov","Kamala Harris",47,"DEM",6526,"Texas",3
"CES / YouGov","Donald Trump",51,"REP",6526,"Texas",3
"CES / YouGov","Kamala Harris",47,"DEM",6473,"Texas",3
"CES / YouGov","Donald Trump",51,"REP",6473,"Texas",3
"CES / YouGov","Kamala Harris",53,"DEM",2027,"Virginia",3
"CES / YouGov","Donald Trump",44,"REP",2027,"Virginia",3
"CES / YouGov","Kamala Harris",52,"DEM",2015,"Virginia",3
"CES / YouGov","Donald Trump",44,"REP",2015,"Virginia",3
"CES / YouGov","Kamala Harris",51,"DEM",1552,"Wisconsin",3
"CES / YouGov","Donald Trump",46,"REP",1552,"Wisconsin",3
"CES / YouGov","Kamala Harris",50,"DEM",1542,"Wisconsin",3
"CES / YouGov","Donald Trump",47,"REP",1542,"Wisconsin",3
"Cygnal","Kamala Harris",51.8,"DEM",600,"New Jersey",2.1
"Cygnal","Donald Trump",40.3,"REP",600,"New Jersey",2.1
"Cygnal","Kamala Harris",51.8,"DEM",600,"New Jersey",2.1
"Cygnal","Donald Trump",40.3,"REP",600,"New Jersey",2.1
"Glengariff Group Inc.","Kamala Harris",46.7,"DEM",600,"Michigan",1.5
"Glengariff Group Inc.","Donald Trump",43.7,"REP",600,"Michigan",1.5
"Glengariff Group Inc.","Robert F. Kennedy",3.9,"IND",600,"Michigan",1.5
"Glengariff Group Inc.","Jill Stein",1.6,"GRE",600,"Michigan",1.5
"Glengariff Group Inc.","Chase Oliver",1,"LIB",600,"Michigan",1.5
"Marquette Law School","Kamala Harris",50,"DEM",753,"Wisconsin",3
"Marquette Law School","Donald Trump",49,"REP",753,"Wisconsin",3
"Marquette Law School","Kamala Harris",46,"DEM",753,"Wisconsin",3
"Marquette Law School","Donald Trump",44,"REP",753,"Wisconsin",3
"Marquette Law School","Robert F. Kennedy",5,"IND",753,"Wisconsin",3
"Marquette Law School","Claudia De La Cruz",0,"PSL",753,"Wisconsin",3
"Marquette Law School","Chase Oliver",2,"LIB",753,"Wisconsin",3
"Marquette Law School","Jill Stein",1,"GRE",753,"Wisconsin",3
"Marquette Law School","Randall A. Terry",0,"CON",753,"Wisconsin",3
"Marquette Law School","Cornel West",1,"IND",753,"Wisconsin",3
"Marquette Law School","Kamala Harris",51,"DEM",834,"Wisconsin",3
"Marquette Law School","Donald Trump",49,"REP",834,"Wisconsin",3
"Marquette Law School","Kamala Harris",46,"DEM",834,"Wisconsin",3
"Marquette Law School","Donald Trump",43,"REP",834,"Wisconsin",3
"Marquette Law School","Robert F. Kennedy",5,"IND",834,"Wisconsin",3
"Marquette Law School","Chase Oliver",2,"LIB",834,"Wisconsin",3
"Marquette Law School","Jill Stein",1,"GRE",834,"Wisconsin",3
"Marquette Law School","Randall A. Terry",0,"CON",834,"Wisconsin",3
"Marquette Law School","Cornel West",1,"IND",834,"Wisconsin",3
"Marquette Law School","Claudia De La Cruz",0,"PSL",834,"Wisconsin",3
"Emerson","Kamala Harris",50.9,"DEM",915,"New Hampshire",2.9
"Emerson","Donald Trump",47.2,"REP",915,"New Hampshire",2.9
"Suffolk","Kamala Harris",46.6,"DEM",500,"Wisconsin",2.9
"Suffolk","Donald Trump",48,"REP",500,"Wisconsin",2.9
"Suffolk","Randall A. Terry",0.2,"CON",500,"Wisconsin",2.9
"Suffolk","Chase Oliver",0.4,"LIB",500,"Wisconsin",2.9
"Suffolk","Jill Stein",0.8,"GRE",500,"Wisconsin",2.9
"Suffolk","Claudia De La Cruz",0.2,"PSL",500,"Wisconsin",2.9
"Suffolk","Cornel West",0.4,"IND",500,"Wisconsin",2.9
"Suffolk","Robert F. Kennedy",1.2,"IND",500,"Wisconsin",2.9
"Washington Post/George Mason University","Kamala Harris",49,"DEM",1004,"Virginia",2.7
"Washington Post/George Mason University","Donald Trump",43,"REP",1004,"Virginia",2.7
"Washington Post/George Mason University","Kamala Harris",48,"DEM",1004,"Virginia",2.7
"Washington Post/George Mason University","Donald Trump",42,"REP",1004,"Virginia",2.7
"Emerson","Kamala Harris",49,"DEM",860,"Pennsylvania",2.9
"Emerson","Donald Trump",50.7,"REP",860,"Pennsylvania",2.9
"Emerson","Kamala Harris",48.2,"DEM",950,"North Carolina",2.9
"Emerson","Donald Trump",50.2,"REP",950,"North Carolina",2.9
"Emerson","Kamala Harris",49.2,"DEM",800,"Wisconsin",2.9
"Emerson","Donald Trump",49.9,"REP",800,"Wisconsin",2.9
"Redfield & Wilton Strategies","Kamala Harris",46,"DEM",710,"Arizona",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",710,"Arizona",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",710,"Arizona",1.8
"Redfield & Wilton Strategies","Jill Stein",1,"GRE",710,"Arizona",1.8
"Redfield & Wilton Strategies","Kamala Harris",47,"DEM",1168,"Georgia",1.8
"Redfield & Wilton Strategies","Donald Trump",48,"REP",1168,"Georgia",1.8
"Redfield & Wilton Strategies","Chase Oliver",1,"LIB",1168,"Georgia",1.8
"Redfield & Wilton Strategies","Jill Stein",0,"GRE",1168,"Georgia",1.8
"Redfield & Wilton Strategies","Kamala Harris",47,"DEM",1115,"Michigan",1.8
